Feature,Importance
ANXA8L2|244,0.35323733
FABP7|2173,0.34192365
GPR160|26996,0.3324136
IMPA2|3613,0.33160508
FAM83D|81610,0.33111817
FAM47E|100129583,0.32844508
LBR|3930,0.32711357
B3GNT5|84002,0.32575908
DUSP9|1852,0.3254722
GDF5|8200,0.32471603
C6orf153|88745,0.32444623
CPEB2|132864,0.32352144
DIAPH3|81624,0.3222155
CDC20|991,0.3221896
EAPP|55837,0.32005584
C14orf174|161394,0.3192835
C12orf48|55010,0.31869638
IVD|3712,0.31834576
KIAA0020|9933,0.31777814
FAM19A4|151647,0.31717658
C6orf15|29113,0.31716487
CYB5D2|124936,0.31716236
LANCL3|347404,0.31659538
IRS1|3667,0.31654713
DKC1|1736,0.31593415
CENPN|55839,0.31535703
ATL2|64225,0.31481588
ATP8B1|5205,0.31430286
BTG3|10950,0.31303006
CASC1|55259,0.31294164
