Feature,Importance
ANXA9,0.31471115
CYP2A13,0.31246087
KSR1,0.3056884
EPS8L1,0.30429915
C7orf29,0.3039072
GGN,0.30347842
FGD4,0.30317324
AGR3,0.30274376
LAMA3,0.30265787
HERC5,0.30254382
LCTL,0.30254224
C15orf50,0.30112582
C12orf34,0.29968765
BTG3,0.29931915
DHCR7,0.29835862
EN1,0.29827932
C17orf28,0.29824623
ATP8B1,0.2980457
C11orf86,0.29557094
EIF3G,0.2953901
HOXA1,0.29534018
ARL4C,0.29523727
C5orf37,0.29512504
FAM57A,0.29486072
LOC100271715,0.29407543
CDH26,0.29334846
FUT3,0.29320177
IGFBP3,0.29285696
HAS2AS,0.29284993
ATOH8,0.29171538
